elapsed_s,ram_mb,cum_cpu_s,threads,handles
10,32,0.86,28,367
20,32,1.06,28,367
30,32,1.31,28,367
40,32,2.06,27,366
50,32,2.23,27,368
60,32,2.41,27,368
70,32,2.62,27,368
80,32,2.83,27,368
90,32,3.05,27,368
100,32,3.27,27,368
110,32,3.45,27,368
